sample_id,animal,sex,dose,pallia,region,song_capable,node,song_system
fe_hvc_1,a,f,e,nido,hvc,y,dn,y
fe_hvc_2,b,f,e,nido,hvc,y,dn,y
fe_hvc_3,c,f,e,nido,hvc,y,dn,y
fe_pln_1,a,f,e,nido,pln,n,dn,n
fe_pln_2,b,f,e,nido,pln,n,dn,n
fe_pln_3,c,f,e,nido,pln,n,dn,n
fe_ra_1,a,f,e,arco,ra,y,la,y
fe_ra_2,b,f,e,arco,ra,y,la,y
fe_ra_3,c,f,e,arco,ra,y,la,y
fe_lai_1,a,f,e,arco,lai,n,la,n
fe_lai_2,b,f,e,arco,lai,n,la,n
fe_lai_3,c,f,e,arco,lai,n,la,n
fe_ax_1,a,f,e,str,ax,y,str,y
fe_ax_2,b,f,e,str,ax,y,str,y
fe_ax_3,c,f,e,str,ax,y,str,y
fe_mst_1,a,f,e,str,mst,n,str,n
fe_mst_2,b,f,e,str,mst,n,str,n
fe_mst_3,c,f,e,str,mst,n,str,n
fe_lman_1,a,f,e,nido,lman,y,an,y
fe_lman_2,b,f,e,nido,lman,y,an,y
fe_lman_3,c,f,e,nido,lman,y,an,y
fe_an_1,a,f,e,nido,an,n,an,n
fe_an_2,b,f,e,nido,an,n,an,n
fe_an_3,c,f,e,nido,an,n,an,n
fv_hvc_1,d,f,v,nido,hvc,n,dn,y
fv_hvc_2,e,f,v,nido,hvc,n,dn,y
fv_hvc_3,f,f,v,nido,hvc,n,dn,y
fv_pln_1,d,f,v,nido,pln,n,dn,n
fv_pln_2,e,f,v,nido,pln,n,dn,n
fv_pln_3,f,f,v,nido,pln,n,dn,n
fv_ra_1,d,f,v,arco,ra,n,la,y
fv_ra_2,e,f,v,arco,ra,n,la,y
fv_ra_3,f,f,v,arco,ra,n,la,y
fv_lai_1,d,f,v,arco,lai,n,la,n
fv_lai_2,e,f,v,arco,lai,n,la,n
fv_lai_3,f,f,v,arco,lai,n,la,n
fv_ax_1,d,f,v,str,ax,n,str,y
fv_ax_2,e,f,v,str,ax,n,str,y
fv_ax_3,f,f,v,str,ax,n,str,y
fv_mst_1,d,f,v,str,mst,n,str,n
fv_mst_2,e,f,v,str,mst,n,str,n
fv_mst_3,f,f,v,str,mst,n,str,n
fv_lman_1,d,f,v,nido,lman,n,an,y
fv_lman_2,e,f,v,nido,lman,n,an,y
fv_lman_3,f,f,v,nido,lman,n,an,y
fv_an_1,d,f,v,nido,an,n,an,n
fv_an_2,e,f,v,nido,an,n,an,n
fv_an_3,f,f,v,nido,an,n,an,n
me_hvc_1,g,m,e,nido,hvc,y,dn,y
me_hvc_2,h,m,e,nido,hvc,y,dn,y
me_hvc_3,i,m,e,nido,hvc,y,dn,y
me_pln_1,g,m,e,nido,pln,n,dn,n
me_pln_2,h,m,e,nido,pln,n,dn,n
me_pln_3,i,m,e,nido,pln,n,dn,n
me_ra_1,g,m,e,arco,ra,y,la,y
me_ra_2,h,m,e,arco,ra,y,la,y
me_ra_3,i,m,e,arco,ra,y,la,y
me_lai_1,g,m,e,arco,lai,n,la,n
me_lai_2,h,m,e,arco,lai,n,la,n
me_lai_3,i,m,e,arco,lai,n,la,n
me_ax_1,g,m,e,str,ax,y,str,y
me_ax_2,h,m,e,str,ax,y,str,y
me_ax_3,i,m,e,str,ax,y,str,y
me_mst_1,g,m,e,str,mst,n,str,n
me_mst_2,h,m,e,str,mst,n,str,n
me_mst_3,i,m,e,str,mst,n,str,n
me_lman_1,g,m,e,nido,lman,y,an,y
me_lman_2,h,m,e,nido,lman,y,an,y
me_lman_3,i,m,e,nido,lman,y,an,y
me_an_1,g,m,e,nido,an,n,an,n
me_an_2,h,m,e,nido,an,n,an,n
me_an_3,i,m,e,nido,an,n,an,n
mv_hvc_1,j,m,v,nido,hvc,y,dn,y
mv_hvc_2,k,m,v,nido,hvc,y,dn,y
mv_hvc_3,l,m,v,nido,hvc,y,dn,y
mv_pln_1,j,m,v,nido,pln,n,dn,n
mv_pln_2,k,m,v,nido,pln,n,dn,n
mv_pln_3,l,m,v,nido,pln,n,dn,n
mv_ra_1,j,m,v,arco,ra,y,la,y
mv_ra_2,k,m,v,arco,ra,y,la,y
mv_ra_3,l,m,v,arco,ra,y,la,y
mv_lai_1,j,m,v,arco,lai,n,la,n
mv_lai_2,k,m,v,arco,lai,n,la,n
mv_lai_3,l,m,v,arco,lai,n,la,n
mv_ax_1,j,m,v,str,ax,y,str,y
mv_ax_2,k,m,v,str,ax,y,str,y
mv_ax_3,l,m,v,str,ax,y,str,y
mv_mst_1,j,m,v,str,mst,n,str,n
mv_mst_2,k,m,v,str,mst,n,str,n
mv_mst_3,l,m,v,str,mst,n,str,n
mv_lman_1,j,m,v,nido,lman,y,an,y
mv_lman_2,k,m,v,nido,lman,y,an,y
mv_lman_3,l,m,v,nido,lman,y,an,y
mv_an_1,j,m,v,nido,an,n,an,n
mv_an_2,k,m,v,nido,an,n,an,n
mv_an_3,l,m,v,nido,an,n,an,n